"候选写法","提及评论数","涉及视频数","涉及城市","涉及区县或县级市","有效推荐语境数","戏谑或比较语境数","负面语境数","仅提及语境数","语义判定依据","最高点赞数","召回方式","召回级别","证据BV号","证据评论ID","证据摘录","处理建议"
"秦园","25","5","无锡市","无锡市","4","1","2","18","含明确负向体验；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","24","词典命中","A-词典命中","BV1Wj411n7PD","200962811936","呀，我大二去过这！里面忆秦园小笼好吃的嘞，里面商铺卖的豆腐脑居然是咸的，好吃，但是买的特产都好甜哈哈","进入实体精筛表"
"和团团","14","6","无锡市","无锡市","4","0","0","10","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","41","词典命中／推荐／店名句式","A-词典命中","BV1vieoz9Eb9","272667022657","来无锡的话吃个店叫 和团团还是很不错的蛮正宗的无锡菜","进入实体精筛表"
"义兴斋","14","5","无锡市","无锡市","4","0","0","10","明确正向用餐体验；只有店名提及，缺少推荐语义","20","词典命中","A-词典命中","BV1Ue4y1r7QE","134203320576","这家包子并不好吃！上马墩义兴斋的好吃！他家肉包菜包真的好吃😋","进入实体精筛表"
"一下","12","8","无锡市","无锡市","4","0","1","8","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","25","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245492004497","勤德兴的小笼包强烈推荐一下，特别好吃，是除了老街以外我觉得最好吃的了","优先平台检索"
"淘米水","9","3","无锡市","无锡市","4","3","2","1","含反讽或戏谑信号；含明确负向体验；明确正向用餐体验；明确重复到店行为；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","1","词典命中","A-词典命中","BV1GgXNBiESt","296883428240","回复：淘米水确实也不错","进入实体精筛表"
"甜的","4","3","无锡市","无锡市","4","0","0","0","明确到店或菜品推荐；明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","130269010832","甜的好吃呀[doge]","优先平台检索"
"也挺","4","4","无锡市","无锡市","4","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1Z9NJ6vEPS","305662923185","不腻呀，你吃过甜肉月饼吗，也挺好吃的","优先平台检索"
"小笼包","20","7","无锡市","无锡市","3","1","0","16","明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","4","门店后缀／推荐／店名句式","B-存在明确推荐","BV1QT421C7iV","220380623104","玉兰饼好吃 酸辣汤好喝 小笼包好吃😋","优先平台检索"
"忆秦园","19","5","无锡市","无锡市","3","1","1","14","含明确负向体验；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","24","词典命中／推荐／店名句式","A-词典命中","BV1Wj411n7PD","200962811936","呀，我大二去过这！里面忆秦园小笼好吃的嘞，里面商铺卖的豆腐脑居然是咸的，好吃，但是买的特产都好甜哈哈","进入实体精筛表"
"开洋馄饨","18","8","无锡市","无锡市","3","0","0","15","明确正向用餐体验；只有店名提及，缺少推荐语义","9","门店后缀／推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195670603312","无锡的开洋馄饨好吃[doge]","优先平台检索"
"陆稿荐","16","9","无锡市","无锡市","3","2","0","11","明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","5","词典命中","A-词典命中","BV1Ue4y1r7QE","134218010912","回复：三凤桥的不好吃，还是陆稿荐的好吃。","进入实体精筛表"
"东盛","10","3","无锡市","无锡市","3","1","0","6","明确到店或菜品推荐；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","3","词典命中／推荐／店名句式","A-词典命中","BV1PtMF6YECD","305294260705","可以去排一下无锡万象城刚开的东盛，工作日午市120一位，也有干式熟成＋先切牛羊肉，还有三文鱼","进入实体精筛表"
"阿娟馄饨","9","5","无锡市","无锡市","3","0","0","6","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","8","词典命中／门店后缀／推荐／店名句式","A-词典命中","BV1Ue4y1r7QE","132717315088","[妙啊]圆圆包子店的大哥就是店老板，我小时候就有这家店了，以前他家还卖过鸡子大饼，他家的包子确实好吃，和锡山大桥底下的人可味道差不多。他家对面的阿娟馄饨店也强烈推荐，也是老店。","进入实体精筛表"
"海棠糕","9","4","无锡市","无锡市","3","0","1","5","含明确负向体验；明确正向用餐体验；只有店名提及，缺少推荐语义","0","门店后缀／推荐／店名句式","B-存在明确推荐","BV1wi4y1z7oD","202872935792","小时候每天早饭就是肉馅海棠糕，我觉得海棠糕比梅花糕好吃，可惜现在找不到肉馅的海棠糕了[笑哭]","优先平台检索"
"拌馄饨","8","4","无锡市","无锡市","3","0","0","5","明确正向用餐体验；只有店名提及，缺少推荐语义","67","门店后缀／推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","286256117617","回复：综合个人最推荐福乐，小笼的话无夕（减糖减酱油版不算传统）和超王记，苏兴记。拌馄饨的话福乐，王兴记。廿一和老老头的拌馄饨也好吃，但是属于小馄饨，不是开洋的。之所以强调拌的是因为拌馄饨能吃出一家店酱油熬制的水平，拌馄饨好吃的话，汤馄饨大概…","优先平台检索"
"玉兰饼","8","6","无锡市","无锡市","3","0","0","5","明确正向用餐体验；只有店名提及，缺少推荐语义","2","推荐／店名句式","B-存在明确推荐","BV1QT421C7iV","220380623104","玉兰饼好吃 酸辣汤好喝 小笼包好吃😋","优先平台检索"
"君溢面馆","7","3","无锡市","无锡市","3","0","0","4","明确正向用餐体验；只有店名提及，缺少推荐语义","3","词典命中／门店后缀","A-词典命中","BV1KbygBJELh","281079868737","同新吴区，君溢面馆超级好吃","进入实体精筛表"
"和兴记","5","3","无锡市","无锡市","3","0","0","2","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","3","词典命中／推荐／店名句式","A-词典命中","BV1e314YJEFA","245773150128","可以去试试和兴记[支持]","进入实体精筛表"
"菜猪油","4","3","无锡市","无锡市","3","0","0","1","明确正向用餐体验；只有店名提及，缺少推荐语义","1","推荐／店名句式","B-存在明确推荐","BV1Z9NJ6vEPS","305949517505","回复：菜猪油好吃","优先平台检索"
"脆鳝","4","2","无锡市","无锡市","3","0","0","1","明确正向用餐体验；只有店名提及，缺少推荐语义","29","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256610461457","脆鳝好吃的😋","优先平台检索"
"非常","3","3","无锡市","无锡市","3","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1o9XdYZEFp","256867183952","非常好吃，啊，我又馋了","优先平台检索"
"就没有","3","1","无锡市","无锡市","3","0","0","0","明确正向用餐体验","65","门店后缀／推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","294314905457","为啥每一次吃美式烤肉都会踩雷啊[大哭][大哭][大哭]，真的就没有好吃点的而且稍微平价一点的美式烤肉了嘛","优先平台检索"
"看看","3","3","无锡市","无锡市","3","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","133067677456","还有陈大嘴包子也可以去看看","优先平台检索"
"没啥","3","3","无锡市","无锡市","3","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","204861707264","无锡没啥好吃的 吃不到什么正宗的 什么边角料 做饭靠糊弄 什么小笼包煎饺 一口下去啥也没感受到 明明是煎饺 别人表面是脆的里面是软的还能吃到肉 好家伙 他们做的 煎是煎了 又好像蒸了一遍 真是服了 到嘴里又软又硬 就是捣浆糊 煎饺是只加油 …","优先平台检索"
"是真的","3","3","无锡市","无锡市","3","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195544380352","虽然但是，是真的好吃啊[大哭]","优先平台检索"
"天福苑的玉兰饼","3","2","无锡市","无锡市","3","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1otyHYuE1S","245216976352","天福苑的玉兰饼好吃","优先平台检索"
"老友记","35","6","无锡市","无锡市","2","3","0","30","明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","66","词典命中／推荐／店名句式","A-词典命中","BV1vieoz9Eb9","273985700432","南长街和小娄巷都有店，但是本地人真心劝你不要去吃，真的没有那么好吃，你想吃正宗无锡本帮菜，你就去三凤桥大排档，苍蝇小馆或者面馆啥的你可以去吃老友记","进入实体精筛表"
"陶兴宝","27","3","无锡市","江阴市／无锡市","2","1","4","20","含明确负向体验；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","3","词典命中","A-词典命中","BV1L1421Z7Zz","218338721712","陶兴宝 没10年前好吃了，现在鲜的都是鸡精 味精","进入实体精筛表"
"牛New","20","4","无锡市","无锡市","2","1","2","15","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","15","词典命中／推荐／店名句式","A-词典命中","BV1GgXNBiESt","294338372977","回复：上海牛new好吃。 现在抖音上无锡饭店探店广告多的坚决不能去","进入实体精筛表"
"鸡鸭鹅大酒店","18","6","无锡市","无锡市","2","0","0","16","明确正向用餐体验；只有店名提及，缺少推荐语义","79","词典命中／门店后缀／推荐／店名句式","A-词典命中","BV1Z9NJ6vEPS","305667525281","本地人都不会去吃那个什么鸡鸭鹅大酒店[辣眼睛]老牛窝也就之前好吃吧，感觉最近越做越甜，有种迎合刻板印象的感觉","进入实体精筛表"
"老法头","15","7","无锡市","无锡市","2","0","1","12","含明确负向体验；明确正向用餐体验；只有店名提及，缺少推荐语义","160","词典命中","A-词典命中","BV1ti421i77i","226473175280","回复：菜阿婆那家不好吃，老法头对面在那个生煎包旁边的那个好吃得多","进入实体精筛表"
"新万鑫","15","6","无锡市","无锡市","2","0","1","12","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","160","词典命中","A-词典命中","BV1e314YJEFA","245568472465","回复：新万鑫确实便宜好吃，一碗面带点配菜人均不四十吧，带过两批苏州和扬州的朋友去吃过，都说很不错[妙啊]前段时间还去吃了蟹黄面，一碗不够吃还让人加了碗面[大笑]","进入实体精筛表"
"春笋面馆","10","5","无锡市","无锡市","2","0","0","8","明确正向用餐体验；只有店名提及，缺少推荐语义","5","词典命中／门店后缀","A-词典命中","BV1cURwYnEum","257345188752","回复：古香楼的红辣汤味道是真的不错超王记都没得比，还有一个叫春笋面馆的拌面也好吃，不过只有两家评分高的好吃其他店都难吃，一家叙康一家好像是长安","进入实体精筛表"
"游侠烤肉","10","1","无锡市","无锡市","2","0","0","8","明确正向用餐体验；只有店名提及，缺少推荐语义","182","词典命中／门店后缀／推荐／店名句式","A-词典命中","BV1GgXNBiESt","297031524416","如果不吃自助的话新吴有家叫游侠烤肉的很好吃，要预约。","进入实体精筛表"
"PunchHouse","8","3","无锡市","无锡市","2","0","0","6","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","182","词典命中／推荐／店名句式","A-词典命中","BV1PtMF6YECD","305076776577","回复：punchhouse也不错就是太难约了","进入实体精筛表"
"鼎福记","8","5","无锡市","无锡市","2","0","0","6","明确正向用餐体验；只有店名提及，缺少推荐语义","21","词典命中","A-词典命中","BV1Ue4y1r7QE","133185158768","我觉得鼎福记就很好吃[脱单doge]","进入实体精筛表"
"湖滨饭店","8","6","无锡市","无锡市","2","0","0","6","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","2","词典命中／门店后缀","A-词典命中","BV1Z9NJ6vEPS","308845818832","鸡鸭鹅就是骗外地人的，完全是被网红炒红的😅地道无锡菜 湖滨饭店，平价天福苑","进入实体精筛表"
"糊涂生煎","7","5","无锡市","江阴市／无锡市","2","1","2","2","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","6","词典命中／门店后缀","A-词典命中","BV1Ue4y1r7QE","132731162928","回复：玉兰饼有个非常规做法的，糊涂生煎的我推荐，我觉得比传统的好吃","进入实体精筛表"
"汤包","7","4","无锡市","无锡市","2","0","0","5","明确正向用餐体验；只有店名提及，缺少推荐语义","1","推荐／店名句式","B-存在明确推荐","BV1wi4y1z7oD","202416129952","这里是常州人，说说我觉得好吃的店，常州吃豆腐汤可以去西新桥三村银丝面店，他们家有个萝卜丝馅的包子也好吃。吃完出门左转老杨汤包，汤包好吃。出门右转往菜场方向走，上午十点左右，托福炸鸡排开门，可以整个鸡排鸡腿恰恰。吃酸菜馅包子去银桂馒头店。吃面…","优先平台检索"
"小峰饭店","7","2","无锡市","无锡市","2","0","1","4","含明确负向体验；明确正向用餐体验；只有店名提及，缺少推荐语义","614","词典命中／门店后缀／推荐／店名句式","A-词典命中","BV1e314YJEFA","245786894256","回复：笑死个人，南长街门口小峰饭店还排大队呢，好吃吗？你一定也很喜欢现在小峰饭店的骨头煲吧？我再猜猜，你该不会还喜欢排大队的“老无锡”口味的新万鑫，二泉老菜馆吧？江浙菜你该不会还喜欢吃排大队的外婆家，桂满陇吧？粤菜你该不会喜欢排大队的民记吧…","进入实体精筛表"
"方桥点心","6","4","无锡市","江阴市／无锡市","2","0","0","4","明确正向用餐体验；只有店名提及，缺少推荐语义","48","词典命中／门店后缀","A-词典命中","BV1oP6mB4EuX","288428144480","回复：emm 是在中心城区附近的 好像叫方桥点心店 可好吃了","进入实体精筛表"
"但是小笼","4","3","无锡市","无锡市","2","0","0","2","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","22","门店后缀","B-存在明确推荐","BV1Nj41177WC","195538946208","我无锡人[笑哭]玉兰饼巨甜，有时候我自己都受不了，但是小笼包和油面筋我可以吃到停不下来[打call]糖醋排骨的话必须要和饭一起吃，不然连续干吃确实会过于甜了","优先平台检索"
"芦庄超王记","4","3","无锡市","无锡市","2","0","0","2","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","2","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256583361025","芦庄超王记好吃！左边一个女中，右边南禅寺","优先平台检索"
"卜岩面馆","3","3","无锡市","无锡市","2","0","0","1","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","15","词典命中","A-词典命中","BV1vieoz9Eb9","273983602144","三凤桥就上档次了，达哥是亲民美食，既然都到崇宁路那边鸡鸭鹅了，我推荐不如多走几步学前街卜岩面馆点一桌了","进入实体精筛表"
"但是","3","2","无锡市","无锡市","2","0","1","0","含明确负向体验；明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","197190642288","回复：但是好吃啊，健康一定不好吃，好吃一定不健康，但是人总不能为了多活几年就天天清汤寡水吧","优先平台检索"
"穆桂英美食","3","2","无锡市","无锡市","2","0","0","1","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","5","词典命中／推荐／店名句式","A-词典命中","BV1Ue4y1r7QE","132566257552","两年前去的无锡 他们的穆桂英美食 三凤桥排骨和熙盛源不错 很地道的无锡美食但是会偏甜 他们什么菜都要加很多很多白砂糖！ 不知道丹牛吃不吃的惯 我都吃过 这些小众美食我没有尝试过下次会来看看","进入实体精筛表"
"确实很","3","3","无锡市","无锡市","2","0","1","0","含明确负向体验；明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245572422705","推荐一手东红饭店。确实很好吃","优先平台检索"
"三凤桥排骨","3","3","无锡市","无锡市","2","0","0","1","明确正向用餐体验；只有店名提及，缺少推荐语义","1","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","257408704128","去年在我对象的（无锡本地人）的带领下吃了熙盛源的小笼，吃了毛华的肉汤圆还有玉兰饼好像还有类似胡辣汤的东西（不太有印象）。 我一直有个疑问，玉兰饼是不是炸肉汤圆啊，吃起来味道很像。 对了还在小峰吃了菜饭和响油鳝糊，菜饭香香的好好吃，鳝糊没刺好…","优先平台检索"
"熙盛源的开洋馄饨和小笼","3","2","无锡市","无锡市","2","0","0","1","明确正向用餐体验；只有店名提及，缺少推荐语义","6","门店后缀","B-存在明确推荐","BV1e314YJEFA","245730230704","熙盛源的开洋馄饨和小笼包正宗吗，我去无锡吃过一次，还觉得挺好吃的","优先平台检索"
"阿娟馄饨店","2","2","无锡市","无锡市","2","0","0","0","明确到店或菜品推荐；明确正向用餐体验","4","词典命中／门店后缀／推荐／店名句式","A-词典命中","BV1Ue4y1r7QE","132717315088","[妙啊]圆圆包子店的大哥就是店老板，我小时候就有这家店了，以前他家还卖过鸡子大饼，他家的包子确实好吃，和锡山大桥底下的人可味道差不多。他家对面的阿娟馄饨店也强烈推荐，也是老店。","进入实体精筛表"
"不要太","2","2","无锡市","无锡市","2","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","286065242497","什么邪道，不要太好吃哦","优先平台检索"
"菜饭","2","2","无锡市","无锡市","2","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1w1Q7YoEvz","257691023920","菜饭好吃","优先平台检索"
"菜猪油玉兰饼","2","2","无锡市","无锡市","2","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256833420289","菜猪油玉兰饼好吃","优先平台检索"
"但是很","2","2","无锡市","无锡市","2","0","0","0","明确正向用餐体验","3","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","222614170736","不是所有菜都是甜的，但只要放了酱油红烧的基本上全是甜的，俗称赤酱，视频里就是这样，小笼馒头/玉兰饼/梅花糕/肉馒头之类的，里面的肉馅差不多都是一样的，油+酱油+糖，但是很好吃。","优先平台检索"
